"Manufacturers part number","Product Name","Main Features (Overview)","Bullet 1","Bullet 2","Bullet 3","Bullet 4","Bullet 5","Bullet 6","Bullet 7","Bullet 8","Bullet 9","Bullet 10","Bullet 11","Aspect Ratio
","Orientation
","Screen Format
","UPC ","Image URL","Additional Image URL",""
"PF216W1B","3M™ Privacy Filter for 21.6"" Widescreen Monitor (16:10)","3M™ Privacy Filter for 21.6"" Widescreen Monitor (16:10)","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:10","Landscape","Widescreen","00051128787229","http://multimedia.3m.com/mws/media/1362987Z/pf216w1b-monitor-34871995048-ft-rgb-jpg.jpg","",""
"PF213C3B","3M™ Privacy Filter for 21.3"" Standard Monitor","3M™ Privacy Filter for 21.3"" Standard Monitor","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","4:3","Landscape","Standard","00051128787236","http://multimedia.3m.com/mws/media/1362981Z/pf213c3b-monitor-34871995014-ft-rgb-jpg.jpg","",""
"GF156W9B","3M™ Gold Privacy Filter for 15.6"" Widescreen Laptop","3M™ Gold Privacy Filter for 15.6"" Widescreen Laptop","Outside the 60-degree viewing angle, the filter projects a vibrant gold shield","On average, 25% more clarity than standard 3M™ Black Privacy Filters

","Gold, glossy finish for incredible clarity","Provides a beautiful high-contrast, high-resolution quality you expect","Proprietary gold effect provides premium privacy with a glossy finish","Reversible between vibrant gold and a glossy black screen","Reduces 35% of blue light transmission from the display","Easy to attach, remove and clean ","Adds an extra layer of protection from everyday scratches and dust","Perfectly suited for most of today’s laptop devices and screen types","100% hand inspected for quality assurance ","16:9","Landscape","Widescreen","00051128788820","http://multimedia.3m.com/mws/media/1366985Z/gf156w9b-laptop-34871995634-ft-rgb-jpg.jpg","",""
"PFNAP006","3M™ Privacy Filter for 11"" Apple® MacBook Air®","3M™ Privacy Filter for 11"" Apple® MacBook Air®","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:9","Landscape","Widescreen","00051128826539","http://multimedia.3m.com/mws/media/1049294O/macbook-air-black-privacy-filter.jpg","",""
"PFNAP002","3M™ Privacy Filter for 13"" Apple® MacBook Air®","3M™ Privacy Filter for 13"" Apple® MacBook Air®","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Designed to seamlessly fit within the raised bezel of your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance","","16:10","Landscape","Widescreen","00051128826560","http://multimedia.3m.com/mws/media/1049294O/macbook-air-black-privacy-filter.jpg","",""
"NV828748","3M™ Ultra Clear Screen Protector for Apple® iPhone® 5/5S/5C/SE","3M™ Ultra Clear Screen Protector for Apple® iPhone® 5/5S/5C/SE","Incredible high-resolution clarity","Anti-reflective technology increases display contrast","Smooth, touch-responsive surface","Gives screens a layer of durable protection from dust and scratches","Innovative stay-clean edge technology helps prevent grime from collecting on film edges ","Residue-free adhesive-backed screen protector attaches easily and removes cleanly","100% hand inspected for quality assurance               
","","","","","","","","00051128828748","http://multimedia.3m.com/mws/media/1222868O/nv828748-iphone5-5c-5s-se-34871898317.png","",""
"PFMAP002","3M™ Privacy Filter for 27"" Apple® iMac®","3M™ Privacy Filter for 27"" Apple® iMac®","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:9","Landscape","Widescreen","00051128829691","http://multimedia.3m.com/mws/media/1184506O/privacy-filter-imac-34871189535-ft.png","",""
"PFMAP001","3M™ Privacy Filter for 21.5"" Apple® iMac®","3M™ Privacy Filter for 21.5"" Apple® iMac®","Effective ""black out"" privacy from side views outside the 60-degree viewing angle","Helps reduce reflections so you see your screen clearly with pristine image clarity","Reversible between a glossy side and glare-reducing matte ","Designed with advanced microlouver technology, creating an excellent high-resolution viewing experience","Matte surface helps reduce glare and hide fingerprints","Easy to attach, remove and clean","Adds an extra layer of protection from everyday scratches and dust","Custom-cut for your device","Reduces 35% of blue light transmission from the display","100% hand inspected for quality assurance ","","16:9","Landscape","Widescreen","00051128829707","http://multimedia.3m.com/mws/media/1370369Z/pfmap001-imac-34871996541-ft-rgb-jpg.jpg","",""
"AG156W9B","3M™ Anti-Glare Filter for 15.6"" Widescreen Laptop","3M™ Anti-Glare Filter for 15.6"" Widescreen Laptop","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance","","","","16:9","","Widescreen","00051128829905","http://multimedia.3m.com/mws/media/1189460Z/ag156w9-34871401112-fr-rgb-150-png.jpg","",""
"AG215W9B","3M™ Anti-Glare Filter for 21.5"" Widescreen Monitor","3M™ Anti-Glare Filter for 21.5"" Widescreen Monitor","Diffuses light so your screen is easier to see in challenging and changing indoor lighting conditions","Helps reduce mirror-like reflections from indoor bright lights","Enjoy a clear screen in brightly lit indoor areas, even near windows","Compatible with most touchscreen displays","Lightweight, thin, frameless design","Gives screens an added layer of durable protection from dust and scratches","Matte surface cleans easily and hides fingerprints","Attaches with optically clear adhesive strips or easily removable slide mount tabs","100% hand inspected for quality assurance ","","","16:9","","Widescreen","00051128831076","http://multimedia.3m.com/mws/media/1260443Z/ag215w9b-ag-filter-34871944624-ft-rgb-150-png.jpg","",""
