"X_REC_SPEC","PlantMaterialKey","SalesOrganization","DistributionChannel","Material","LanguageCode","LanguageCodeDesc","SkuType","DistributionChainMaterialStatus","ItemCategoryGroup","ValidDays","NewProductFlag","EndUserRequired","ReturnDirectToVendor","ReturnLimitations","ManufacturerPartNumber","MfrMaterialKey","Manufacturer","ManufacturerDesc","MaterialType","Weight","WeightUnit","DealerPrice","RetailPrice","Cat1Desc","Subcategory","Plant","Height","Width","Length","AbcIndicator","NoReturnsFlag","OversizeFlag","MediumDesc","LongDesc1","UpcEan","MasterVendor","MasterVendorName","PromoFlag","PromoExpireDate","PromoFreePartNumber","PromoMinimumQuantity","PromoFreeQuantity","PromoPrice","PromoEffectiveDate","PromoType","EcomFreePartNumber","EcomFreeQuantity","EcomMinimumQuantity","EcomSpecPrice","EcomEffDate","EcomExpireDate","EcomPromoType","WebVisibleFlag","ClassCode","CpuCd","CurrencyCode","HeavyWeightFlag","ShipCartonFlag","PartType","DealerFlag","BackOrderSwitch","NoReturnFlag","IsESDProduct","RefurbishedFlag","PalletQuantity","DirectShipOrderable","VendorInfoRequired","RestrictedFlag","WarrantyProduct","WeightDetails","SubMaterial","SubRule","QuantityBreakFlag","StatusCD","InvisibleFlag","Webswitch","DeleteFlag","RecordDate","UpdatedDate","HasModified","WebVisibleFlagMode","DeleteFlagMode","FiscalClass","EndlessAisleFlag","OriginalMaterial","VEN_END_USER_FLAG","DiscountIndicator","ResellerFlag","VMF_AUTH_REQ"
"US01@@9500@@10@@BBQ144","US01@@BBQ144","9500","10","BBQ144","","","","","","","","N","","","MMQT2ZM/A","126C@@MMQT2ZM/A@@","126C","APPLE RFL","","0.1","EA","1.25","0","","","US01","","","","E","","","IPHONE 7 PLUS SILICONE CASE - W","IPHONE 7 PLUS SILICONE CASE - W HITE-ZML","1.90E+11","126C","APPLE RFL","","0","","","","","","","","","","","","","","1","E","","","","","","","","","","","99999","","","ACCS","","US01@@.1@@EA","","","","","","Y","1","9/26/2017 2:18","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@BBN385","US01@@BBN385","9500","10","BBN385","","","","","","","","N","","","MM9T2AM/A","126C@@MM9T2AM/A@@","126C","APPLE RFL","","0.15","EA","1.25","0","","","US01","","","","E","","","APPLE WATCH 38MM PEARL NYLON BA","APPLE WATCH 38MM PEARL NYLON BA ND-AME","8.88E+11","126C","APPLE RFL","","0","","","","","","","","","","","","","","1","E","","","","","","","","","","","99999","","","ACCS","","US01@@.15@@EA","","","","","","Y","1","9/26/2017 2:18","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@2PC002","US01@@2PC002","9500","10","2PC002","","","","","","","","N","","","S5868LLA","715U@@S5868LLA@@","715U","APPLECARE WARRANTY","","0","EA","125","0","12","1221","US01","","","","X","","","ACE FOR MAC MINI 24 MONTHS T1","ACE FOR MAC MINI 24 MONTHS T1","","1424","APPLE COMPUTER","","0","","","","","","","","","","","","","","1","X","","","","","","","","","","","99999","","","SVCS","","US01@@0@@EA","","","","","","Y","1","1/11/2018 12:35","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@PK6425","US01@@PK6425","9500","10","PK6425","","","","","","","","N","","","MD506LL/A","1520@@MD506LL/A@@","1520","APPLE OPTIONS","","1.4","EA","80.75","79","99","9920","US01","","","","A","","","85W MAGSAFE 2 POWER ADAPTER","85W MAGSAFE 2 POWER ADAPTER","8.86E+11","1424","APPLE COMPUTER","","0","","","","","","","","","","","","","","1","A","","","","","","","","","","","99999","","","PWR","","US01@@1.4@@EA","","","","","","Y","1","1/13/2018 1:43","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@8R4079","US01@@8R4079","9500","10","8R4079","","","","","","","","N","","","MP2F2LL/A","U756@@MP2F2LL/A@@","U756","APPLE IPADS","","2.05","EA","349.5","0","00","0011","US01","","","","A","","","IPAD 9.7IN WL 32GB SPACE GRAY","IPAD 9.7IN WL 32GB SPACE GRAY","1.90E+11","1424","APPLE COMPUTER","","0","","","","","","","","","","","","","","1","A","","","","","","","","","","","99999","","","SYST","","US01@@2.05@@EA","","","","","","Y","1","1/18/2018 9:28","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@ZG6836","US01@@ZG6836","9500","10","ZG6836","","","","","","","","N","","","MK122LL/A","1520@@MK122LL/A@@","1520","APPLE OPTIONS","","0.35","EA","20","0","22","2210","US01","","","","B","","","POWER ADAPTER EXTENSION CABLE","POWER ADAPTER EXTENSION CABLE","8.88E+11","1424","APPLE COMPUTER","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ADAP","","US01@@.35@@EA","","","","","","Y","1","12/31/2017 7:59","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@ZK7499","US01@@ZK7499","9500","10","ZK7499","","","","","","","","N","","","MD504LL/A","1520@@MD504LL/A@@","1520","APPLE OPTIONS","","0.05","EA","10.5","0","99","9920","US01","","","","B","","","MAGSAFE TO MAGSAFE 2 CONVERTER","MAGSAFE TO MAGSAFE 2 CONVERTER","8.88E+11","1424","APPLE COMPUTER","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","PWR","","US01@@.05@@EA","","","","","","Y","1","1/10/2018 10:54","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@3E3819","US01@@3E3819","9500","10","INF","","","","","","","","N","","","MM4T2AM/A","U589@@MM4T2AM/A@@","U589","APPLE WIRELESS ACCESSORIES","","0.16","EA","18.25","0","99","9995","US01","","","","B","","","APPLE REMOTE","APPLE REMOTE","8.88E+11","1424","APPLE COMPUTER","","0","","","","","","","","","","","","","","1","B","","","","","","","","","","","99999","","","ACCS","","US01@@.16@@EA","","","","","","Y","1","12/31/2017 15:10","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@1V7510","US01@@1V7510","9500","10","1V7510","","","","","","","","N","","","MKQ42AM/A","U589@@MKQ42AM/A@@C","U589","APPLE WIRELESS ACCESSORIES","C","0.15","EA","36.5","0","22","2201","US01","","","","B","","","LIGHTNING TO USB-C CABLE 2M","LIGHTNING TO USB-C CABLE 2M","8.88E+11","1424","APPLE COMPUTER","","0","","","","","","","","","","","","","","1","B","","","","","C","","","","","","99999","","","CABL","","US01@@.15@@EA","","","","","","Y","1","1/6/2018 1:43","1/18/2018 17:39","0","1","","","","","","0","N",""
"US01@@9500@@10@@8Y0068","US01@@8Y0068","9500","10","8Y0068","","","","","","","","N","","","MP6J2LL/A","U756@@MP6J2LL/A@@","U756","APPLE IPADS","","3.3","EA","976","0","00","0011","US01","","","","A","","","IPAD PRO 12.9IN WI-FI 256GB","IPAD PRO 12.9IN WI-FI 256GB GOLD","1.90E+11","1424","APPLE COMPUTER","","0","","","","","","","","","","","","","","1","A","","","","","","","","","","","99999","","","SYST","","US01@@3.3@@EA","","","","","","Y","1","1/11/2018 10:20","1/18/2018 17:39","0","1","","","","","","0","N",""
