"Manufacturers part number","Product Name","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EF180C4F","3M™ Executive Anti-Glare Filter for 17""-18"" Desktop Monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EF200C4F","3M™ Executive Anti-Glare Filter for 19""-20"" Desktop Monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF170C4F","3M™ Framed Privacy Filter for 17"" Standard Monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF190C4F","3M™ Framed Privacy Filter for 19"" Standard Monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF170W1F","3M™ Framed Privacy Filter for 17"" Widescreen Monitor (16:10)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF190W1F","3M™ Framed Privacy Filter for 19"" Widescreen Monitor (16:10)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF240W1F","3M™ Framed Privacy Filter for 24"" Widescreen Monitor (16:10)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF220W1F","3M™ Framed Privacy Filter for 22"" Widescreen Monitor (16:10)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF200W1F","3M™ Framed Privacy Filter for 20"" Widescreen Monitor (16:10)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF141C3B","3M™ Privacy Filter for 14.1"" Standard Laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF133C3B","3M™ Privacy Filter for 13.3"" Standard Laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF121C3B","3M™ Privacy Filter for 12.1"" Standard Laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF150C3B","3M™ Privacy Filter for 15"" Standard Laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF181C4B","3M™ Privacy Filter for 18.1"" Standard Monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF170C4B","3M™ Privacy Filter for 17"" Standard Monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF190C4B","3M™ Privacy Filter for 19"" Standard Monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF154W1B","3M™ Privacy Filter for 15.4"" Widescreen Laptop (16:10)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF121W1B","3M™ Privacy Filter for 12.1"" Widescreen Laptop (16:10)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF141W1B","3M™ Privacy Filter for 14.1"" Widescreen Laptop (16:10)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF170W1B","3M™ Privacy Filter for 17"" Widescreen Laptop (16:10)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF201C3B","3M™ Privacy Filter for 20.1"" Standard Monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
